,region,year,prep_temp_2m,prep_soil_temp_l1,prep_soil_water_vol_l1,prep_net_solar_radiation,prep_total_rain,plnt_temp_2m,plnt_soil_temp_l1,plnt_soil_water_vol_l1,plnt_net_solar_radiation,plnt_total_rain,grow_temp_2m,grow_soil_temp_l1,grow_soil_water_vol_l1,grow_net_solar_radiation,grow_total_rain,head_temp_2m,head_soil_temp_l1,head_soil_water_vol_l1,head_net_solar_radiation,head_total_rain,hvst_temp_2m,hvst_soil_temp_l1,hvst_soil_water_vol_l1,hvst_net_solar_radiation,hvst_total_rain
30,Asahi,2020,283.2105675,283.43841499999996,0.664498045,49509263.0,0.0156335945,291.91333,292.1775,0.6379179,17540928.0,0.004220262,296.40209500000003,296.50342,0.682175125,27809105.0,0.0177253855,299.03698499999996,299.4801,0.5173616400000001,32830553.0,0.0043834887,291.3286,291.4397,0.66075104,8547468.0,0.009796809
31,Asahi,2021,283.54443249999997,283.763915,0.59509401,54050049.0,0.012210867799999999,292.18213,292.48218,0.5674088,16818724.0,0.0037550004,296.375365,296.649535,0.62700382,34340866.0,0.014419860699999999,297.70300499999996,297.82275500000003,0.6531089,27867564.0,0.013058118399999999,291.89722,292.11084,0.6817582,10509062.0,0.007939145
32,Asahi,2022,282.17742999999996,282.445255,0.6392125,50733316.0,0.0159763513,291.26587,291.48242,0.666843,17390268.0,0.004869383,296.962405,297.24597,0.612487375,37188332.0,0.0092057253,298.396975,298.74463000000003,0.5850451249999999,27386992.0,0.006142292,291.70337,291.82056,0.6558849,7555014.0,0.0029920016
33,Asahi,2023,283.5415075,283.708125,0.635340705,39194158.0,0.0073189458,291.2339,291.5315,0.6463804,12810040.0,0.002879521,297.502935,297.73694,0.5854537,26844309.0,0.005033833400000001,300.26745500000004,300.87890500000003,0.41057332,24692417.0,0.0036104134999999996,292.1792,292.50635,0.58498234,9564114.0,0.0026184754
37,Ichihara,1993,281.49130974999997,281.84727175,0.3947708285,48939314.05,0.0155982217399999,289.859062,289.88784599999997,0.364818405,17345232.0,0.00245914711,294.1387115,294.071816,0.3912181939999999,26129581.1,0.016217883160000002,296.25607,296.350183,0.392173958,24022729.200000003,0.014083867889999999,289.928908,290.40536699999996,0.3971442,9981573.1,0.00587839443
38,Ichihara,1994,280.97230425,281.312208,0.3924177205,49313171.75,0.0152428457899998,291.406804,291.228038,0.359401239,16752593.5,0.00413729842,296.70592899999997,296.635307,0.34890345899999997,32755355.1,0.00553318206,298.5378825,298.97011499999996,0.315458441,31056763.6,0.01069905882,292.187997,292.745806,0.393048989,9137481.6,0.00328825727
39,Ichihara,1995,281.3222945,281.61268625,0.3779218255,48781969.3,0.01157953662,290.815913,290.78202799999997,0.3927767869999999,15477223.3,0.0069252433799999,295.508624,295.3717905,0.386651808,28858543.6,0.0090439619,297.948446,298.585302,0.241828089,31065646.400000002,0.008905725073,291.615319,292.033158,0.373679495,10525894.6,0.0031956813
40,Ichihara,1996,280.58292825,280.89069625,0.36876765175,48650663.4,0.01080256366,289.755581,289.751254,0.356628214,16967911.4,0.00311426422,295.57649100000003,295.561097,0.3492034625,31702627.200000003,0.0113028737399999,295.943627,296.314093,0.33882748399999996,27172348.1,0.0137000975599999,290.209035,290.54806199999996,0.39409852,10326772.4,0.00286046182
41,Ichihara,1997,281.8002895,282.03721774999997,0.3704460485,50000391.7,0.010352708799999999,291.00282000000004,291.043163,0.379020465,16316677.0,0.00409227604,295.597434,295.596678,0.372919506,31772810.1,0.009349645180000001,296.9399905,297.273976,0.328810325,28045325.8,0.005822582957,290.52858200000003,291.01185399999997,0.355592559,12357480.8,0.00160611046
42,Ichihara,1998,282.21317750000003,282.38383925,0.40345683824999995,43348417.5,0.0214886639,292.501467,292.295309,0.392021727,13898169.1,0.00460507343,295.47189449999996,295.4063185,0.398236794,26440783.2,0.01492229189,297.721428,297.910741,0.39947919249999997,25652557.700000003,0.01186790994,292.810636,293.267094,0.404849458,10236142.8,0.00424893014
